# 7.010E-01  1.000E-02  X, Z
#    17                 No. of Elements
#     1   9.052E-01     Atomic No., Normalised Abundance
#     2   9.399E-02
#     6   1.882E-04
#     7   4.949E-05
#     8   3.932E-04
#    10   6.234E-05
#    11   1.132E-06
#    12   2.016E-05
#    13   1.568E-06
#    14   1.882E-05
#    16   8.605E-06
#    18   1.759E-06
#    20   1.216E-06
#    24   2.478E-07
#    25   1.300E-07
#    26   1.716E-05
#    28   9.408E-07
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   6.962E+00   1.405E+00  -1.482E+00   1.832E-01  -2.125E+00   4.291E-01
   6.960E+00   1.397E+00  -1.482E+00   1.852E-01  -2.133E+00   4.289E-01
   6.957E+00   1.390E+00  -1.482E+00   1.873E-01  -2.142E+00   4.286E-01
   6.955E+00   1.382E+00  -1.482E+00   1.893E-01  -2.151E+00   4.284E-01
   6.952E+00   1.374E+00  -1.482E+00   1.913E-01  -2.159E+00   4.281E-01
   6.950E+00   1.367E+00  -1.483E+00   1.933E-01  -2.168E+00   4.278E-01
   6.947E+00   1.359E+00  -1.483E+00   1.954E-01  -2.177E+00   4.274E-01
   6.945E+00   1.352E+00  -1.483E+00   1.974E-01  -2.185E+00   4.270E-01
   6.943E+00   1.344E+00  -1.484E+00   1.994E-01  -2.194E+00   4.266E-01
   6.940E+00   1.336E+00  -1.484E+00   2.014E-01  -2.202E+00   4.262E-01
   6.938E+00   1.329E+00  -1.485E+00   2.034E-01  -2.210E+00   4.257E-01
   6.935E+00   1.321E+00  -1.485E+00   2.054E-01  -2.219E+00   4.253E-01
   6.933E+00   1.314E+00  -1.486E+00   2.075E-01  -2.227E+00   4.248E-01
   6.931E+00   1.306E+00  -1.486E+00   2.095E-01  -2.235E+00   4.242E-01
   6.928E+00   1.298E+00  -1.487E+00   2.115E-01  -2.243E+00   4.237E-01
   6.926E+00   1.291E+00  -1.488E+00   2.135E-01  -2.251E+00   4.231E-01
   6.924E+00   1.283E+00  -1.488E+00   2.155E-01  -2.259E+00   4.226E-01
   6.921E+00   1.275E+00  -1.489E+00   2.175E-01  -2.267E+00   4.220E-01
   6.919E+00   1.267E+00  -1.490E+00   2.195E-01  -2.274E+00   4.214E-01
   6.917E+00   1.260E+00  -1.491E+00   2.215E-01  -2.282E+00   4.208E-01
   6.914E+00   1.252E+00  -1.491E+00   2.235E-01  -2.290E+00   4.201E-01
   6.912E+00   1.244E+00  -1.492E+00   2.255E-01  -2.297E+00   4.195E-01
