# 7.010E-01  1.800E-02  X, Z	# 7.010E-01  1.800E-02  X, Z
#    17                 No. of Elements	#    17                 No. of Elements
#     1   9.071E-01     Atomic No., Normalised Abundance	#     1   9.071E-01     Atomic No., Normalised Abundance
#     2   9.157E-02	#     2   9.157E-02
#     6   2.655E-04	#     6   8.362E-06
#     7   7.808E-05	#     7   4.037E-04
#     8   7.183E-04	#     8   6.632E-04
#    10   1.273E-04	#    10   1.175E-04
#    11   2.311E-06	#    11   2.134E-06
#    12   4.116E-05	#    12   3.800E-05
#    13   3.201E-06	#    13   2.956E-06
#    14   3.841E-05	#    14   3.547E-05
#    16   1.757E-05	#    16   1.622E-05
#    18   3.592E-06	#    18   3.316E-06
#    20   2.483E-06	#    20   2.292E-06
#    24   5.059E-07	#    24   4.671E-07
#    25   2.655E-07	#    25   2.451E-07
#    26   3.504E-05	#    26   3.235E-05
#    28   1.921E-06	#    28   1.773E-06
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr	#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.210E+00   1.990E+00  -1.638E+00   6.032E-02  -1.663E+00   3.085E-01	   7.210E+00   1.990E+00  -1.638E+00   4.965E-02  -1.656E+00   3.097E-01
   7.209E+00   1.989E+00  -1.637E+00   6.120E-02  -1.665E+00   3.092E-01	   7.209E+00   1.989E+00  -1.637E+00   5.052E-02  -1.657E+00   3.103E-01
   7.208E+00   1.988E+00  -1.636E+00   6.215E-02  -1.667E+00   3.098E-01	   7.208E+00   1.988E+00  -1.636E+00   5.146E-02  -1.659E+00   3.110E-01
   7.207E+00   1.986E+00  -1.635E+00   6.317E-02  -1.669E+00   3.106E-01	   7.207E+00   1.986E+00  -1.635E+00   5.248E-02  -1.662E+00   3.117E-01
   7.206E+00   1.985E+00  -1.634E+00   6.428E-02  -1.671E+00   3.114E-01	   7.206E+00   1.985E+00  -1.634E+00   5.358E-02  -1.664E+00   3.125E-01
   7.205E+00   1.984E+00  -1.632E+00   6.549E-02  -1.674E+00   3.122E-01	   7.205E+00   1.984E+00  -1.632E+00   5.478E-02  -1.667E+00   3.133E-01
   7.204E+00   1.982E+00  -1.630E+00   6.680E-02  -1.676E+00   3.131E-01	   7.204E+00   1.982E+00  -1.630E+00   5.608E-02  -1.669E+00   3.142E-01
   7.203E+00   1.980E+00  -1.629E+00   6.822E-02  -1.679E+00   3.141E-01	   7.203E+00   1.980E+00  -1.629E+00   5.748E-02  -1.672E+00   3.152E-01
   7.202E+00   1.978E+00  -1.627E+00   6.976E-02  -1.683E+00   3.152E-01	   7.202E+00   1.978E+00  -1.627E+00   5.901E-02  -1.676E+00   3.163E-01
   7.200E+00   1.976E+00  -1.625E+00   7.143E-02  -1.686E+00   3.164E-01	   7.200E+00   1.976E+00  -1.625E+00   6.067E-02  -1.679E+00   3.175E-01
   7.199E+00   1.974E+00  -1.622E+00   7.325E-02  -1.690E+00   3.177E-01	   7.199E+00   1.974E+00  -1.622E+00   6.248E-02  -1.683E+00   3.188E-01
   7.197E+00   1.971E+00  -1.620E+00   7.522E-02  -1.694E+00   3.191E-01	   7.197E+00   1.971E+00  -1.620E+00   6.444E-02  -1.687E+00   3.202E-01
   7.195E+00   1.969E+00  -1.617E+00   7.736E-02  -1.698E+00   3.206E-01	   7.195E+00   1.969E+00  -1.617E+00   6.657E-02  -1.692E+00   3.217E-01
   7.193E+00   1.966E+00  -1.615E+00   7.970E-02  -1.703E+00   3.223E-01	   7.193E+00   1.966E+00  -1.615E+00   6.888E-02  -1.697E+00   3.233E-01
   7.191E+00   1.963E+00  -1.611E+00   8.224E-02  -1.709E+00   3.241E-01	   7.191E+00   1.963E+00  -1.611E+00   7.141E-02  -1.702E+00   3.251E-01
   7.189E+00   1.959E+00  -1.608E+00   8.501E-02  -1.715E+00   3.260E-01	   7.189E+00   1.959E+00  -1.608E+00   7.416E-02  -1.708E+00   3.270E-01
   7.187E+00   1.955E+00  -1.604E+00   8.803E-02  -1.721E+00   3.281E-01	   7.187E+00   1.955E+00  -1.604E+00   7.716E-02  -1.715E+00   3.291E-01
   7.184E+00   1.951E+00  -1.601E+00   9.130E-02  -1.728E+00   3.304E-01	   7.184E+00   1.951E+00  -1.601E+00   8.041E-02  -1.722E+00   3.314E-01
   7.181E+00   1.947E+00  -1.596E+00   9.476E-02  -1.736E+00   3.328E-01	   7.181E+00   1.947E+00  -1.596E+00   8.385E-02  -1.730E+00   3.338E-01
   7.178E+00   1.941E+00  -1.593E+00   9.824E-02  -1.743E+00   3.353E-01	   7.178E+00   1.941E+00  -1.593E+00   8.731E-02  -1.737E+00   3.362E-01
   7.175E+00   1.931E+00  -1.593E+00   1.003E-01  -1.745E+00   3.370E-01	   7.175E+00   1.931E+00  -1.593E+00   8.937E-02  -1.740E+00   3.379E-01
   7.172E+00   1.924E+00  -1.593E+00   1.025E-01  -1.749E+00   3.387E-01	   7.172E+00   1.924E+00  -1.593E+00   9.155E-02  -1.743E+00   3.396E-01
